time2,TST,mean,sd
Ap-21,Drug,220,391.824343
Ap-21,Plant,363.0136986,1292.688504
Ap-20,Drug,0,0
Ap-20,Plant,0,0
Au-20,Drug,242.7184466,268.3836666
Au-20,Plant,257.037037,315.0552524
De-20,Drug,383.1325301,510.6951926
De-20,Plant,357.6923077,361.0437149
Fe-20,Drug,2046.363636,4408.470955
Fe-20,Plant,998.3516484,1435.317436
Fe-21,Drug,168.9189189,315.2192869
Fe-21,Plant,226.1029412,643.6863428
Jan-20,Drug,1643,1795.544656
Jan-20,Plant,954.4230769,1066.696225
Jan-21,Drug,743.6619718,944.3035823
Jan-21,Plant,655.078125,1033.167285
July-20,Drug,147.4137931,262.9138417
July-20,Plant,161.1111111,264.6926313
Ju-20,Drug,453.2258065,851.0817681
Ju-20,Plant,436.6197183,754.7935581
ma-20,Drug,156.5217391,428.3436248
ma-20,Plant,808.5714286,1373.40082
ma-21,Drug,415.7894737,435.9066642
ma-21,Plant,263.9705882,603.4629908
my-20,Drug,316.6666667,324.2123322
my-20,Plant,282.4427481,316.162304
my-21,Drug,531.25,619.2953946
my-21,Plant,409.6153846,710.5447742
no-20,Drug,396.8085106,513.3596127
no-20,Plant,578.742515,1077.835392
oc-20,Drug,465.9090909,840.9416598
oc-20,Plant,351.5151515,410.4784755
se-20,Drug,407.1428571,510.4746963
se-20,Plant,200,276.7989289
