time2,Status,TST,count,perc
Apr-21,Borderline,Drug,115,0.566502463
Apr-21,Healthy,Drug,65,0.320197044
Apr-21,Sick,Drug,23,0.113300493
Apr-20,Borderline,Drug,0,0
Apr-20,Healthy,Drug,0,0
Apr-20,Sick,Drug,0,0
Aug-20,Borderline,Drug,174,0.639705882
Aug-20,Healthy,Drug,56,0.205882353
Aug-20,Sick,Drug,42,0.154411765
Dec-20,Borderline,Drug,150,0.649350649
Dec-20,Healthy,Drug,67,0.29004329
Dec-20,Sick,Drug,14,0.060606061
fe-20,Borderline,Drug,50,0.362318841
fe-20,Healthy,Drug,56,0.405797101
fe-20,Sick,Drug,32,0.231884058
fe-21,Borderline,Drug,104,0.504854369
fe-21,Healthy,Drug,90,0.436893204
fe-21,Sick,Drug,12,0.058252427
Jan-20,Borderline,Drug,78,0.364485981
Jan-20,Healthy,Drug,91,0.425233645
Jan-20,Sick,Drug,45,0.210280374
Jan-21,Borderline,Drug,115,0.534883721
Jan-21,Healthy,Drug,92,0.427906977
Jan-21,Sick,Drug,8,0.037209302
jl-20,Borderline,Drug,188,0.622516556
jl-20,Healthy,Drug,64,0.21192053
jl-20,Sick,Drug,50,0.165562914
jn-20,Borderline,Drug,210,0.507246377
jn-20,Healthy,Drug,144,0.347826087
jn-20,Sick,Drug,60,0.144927536
mr-20,Borderline,Drug,126,0.329842932
mr-20,Healthy,Drug,212,0.554973822
mr-20,Sick,Drug,44,0.115183246
mr-21,Borderline,Drug,112,0.538461538
mr-21,Healthy,Drug,71,0.341346154
mr-21,Sick,Drug,25,0.120192308
my-20,Borderline,Drug,39,0.428571429
my-20,Healthy,Drug,44,0.483516484
my-20,Sick,Drug,8,0.087912088
my-21,Borderline,Drug,100,0.507614213
my-21,Healthy,Drug,86,0.436548223
my-21,Sick,Drug,11,0.055837563
nv-20,Borderline,Drug,176,0.704
nv-20,Healthy,Drug,44,0.176
nv-20,Sick,Drug,30,0.12
oc-20,Borderline,Drug,68,0.635514019
oc-20,Healthy,Drug,21,0.196261682
oc-20,Sick,Drug,18,0.168224299
se-20,Borderline,Drug,98,0.644736842
se-20,Healthy,Drug,18,0.118421053
se-20,Sick,Drug,36,0.236842105
Apr-21,Borderline,Plant,86,0.318518519
Apr-21,Healthy,Plant,176,0.651851852
Apr-21,Sick,Plant,8,0.02962963
Apr-20,Borderline,Plant,0,0
Apr-20,Healthy,Plant,0,0
Apr-20,Sick,Plant,0,0
Aug-20,Borderline,Plant,179,0.555900621
Aug-20,Healthy,Plant,101,0.313664596
Aug-20,Sick,Plant,42,0.130434783
Dec-20,Borderline,Plant,11,0.611111111
Dec-20,Healthy,Plant,6,0.333333333
Dec-20,Sick,Plant,1,0.055555556
fe-20,Borderline,Plant,96,0.344086022
fe-20,Healthy,Plant,157,0.562724014
fe-20,Sick,Plant,26,0.093189964
fe-21,Borderline,Plant,99,0.357400722
fe-21,Healthy,Plant,154,0.555956679
fe-21,Sick,Plant,24,0.086642599
Jan-20,Borderline,Plant,63,0.431506849
Jan-20,Healthy,Plant,48,0.328767123
Jan-20,Sick,Plant,35,0.239726027
Jan-21,Borderline,Plant,117,0.47755102
Jan-21,Healthy,Plant,118,0.481632653
Jan-21,Sick,Plant,10,0.040816327
jl-20,Borderline,Plant,147,0.52688172
jl-20,Healthy,Plant,109,0.390681004
jl-20,Sick,Plant,23,0.082437276
jn-20,Borderline,Plant,106,0.347540984
jn-20,Healthy,Plant,180,0.590163934
jn-20,Sick,Plant,19,0.062295082
mr-20,Borderline,Plant,164,0.28975265
mr-20,Healthy,Plant,363,0.641342756
mr-20,Sick,Plant,39,0.068904594
mr-21,Borderline,Plant,86,0.313868613
mr-21,Healthy,Plant,171,0.624087591
mr-21,Sick,Plant,17,0.062043796
my-20,Borderline,Plant,101,0.336666667
my-20,Healthy,Plant,192,0.64
my-20,Sick,Plant,7,0.023333333
my-21,Borderline,Plant,99,0.38671875
my-21,Healthy,Plant,149,0.58203125
my-21,Sick,Plant,8,0.03125
nv-20,Borderline,Plant,181,0.540298507
nv-20,Healthy,Plant,136,0.405970149
nv-20,Sick,Plant,18,0.053731343
oc-20,Borderline,Plant,113,0.543269231
oc-20,Healthy,Plant,58,0.278846154
oc-20,Sick,Plant,37,0.177884615
se-20,Borderline,Plant,134,0.553719008
se-20,Healthy,Plant,77,0.318181818
se-20,Sick,Plant,31,0.128099174
