time2,FAMACHA,TST,count,perc
Apr-21,1,Drug,3,0.014778325
Apr-21,2,Drug,62,0.305418719
Apr-21,3,Drug,115,0.566502463
Apr-21,4,Drug,22,0.108374384
Apr-21,5,Drug,1,0.004926108
Aug-20,1,Drug,10,0.036900369
Aug-20,2,Drug,110,0.405904059
Aug-20,3,Drug,134,0.494464945
Aug-20,4,Drug,15,0.055350554
Aug-20,5,Drug,2,0.007380074
Dec-20,1,Drug,5,0.02173913
Dec-20,2,Drug,77,0.334782609
Dec-20,3,Drug,134,0.582608696
Dec-20,4,Drug,13,0.056521739
Dec-20,5,Drug,1,0.004347826
Feb-20,1,Drug,4,0.028985507
Feb-20,2,Drug,54,0.391304348
Feb-20,3,Drug,50,0.362318841
Feb-20,4,Drug,28,0.202898551
Feb-20,5,Drug,2,0.014492754
Feb-21,1,Drug,6,0.029411765
Feb-21,2,Drug,72,0.352941176
Feb-21,3,Drug,116,0.568627451
Feb-21,4,Drug,10,0.049019608
Jan-20,1,Drug,15,0.070093458
Jan-20,2,Drug,84,0.392523364
Jan-20,3,Drug,72,0.336448598
Jan-20,4,Drug,40,0.186915888
Jan-20,5,Drug,3,0.014018692
Jan-21,1,Drug,2,0.009302326
Jan-21,2,Drug,102,0.474418605
Jan-21,3,Drug,103,0.479069767
Jan-21,4,Drug,8,0.037209302
Jul-20,1,Drug,18,0.06
Jul-20,2,Drug,117,0.39
Jul-20,3,Drug,146,0.486666667
Jul-20,4,Drug,18,0.06
Jul-20,5,Drug,1,0.003333333
Jun-20,1,Drug,24,0.05811138
Jun-20,2,Drug,179,0.433414044
Jun-20,3,Drug,170,0.411622276
Jun-20,4,Drug,38,0.092009685
Jun-20,5,Drug,2,0.004842615
Mar-20,1,Drug,16,0.041884817
Mar-20,2,Drug,212,0.554973822
Mar-20,3,Drug,110,0.287958115
Mar-20,4,Drug,37,0.096858639
Mar-20,5,Drug,7,0.018324607
Mar-21,1,Drug,3,0.014423077
Mar-21,2,Drug,68,0.326923077
Mar-21,3,Drug,112,0.538461538
Mar-21,4,Drug,20,0.096153846
Mar-21,5,Drug,5,0.024038462
May-20,1,Drug,12,0.131868132
May-20,2,Drug,40,0.43956044
May-20,3,Drug,32,0.351648352
May-20,4,Drug,7,0.076923077
May-21,1,Drug,8,0.040609137
May-21,2,Drug,78,0.395939086
May-21,3,Drug,101,0.512690355
May-21,4,Drug,10,0.050761421
Nov-20,1,Drug,8,0.032128514
Nov-20,2,Drug,91,0.365461847
Nov-20,3,Drug,126,0.506024096
Nov-20,4,Drug,24,0.096385542
Oct-20,2,Drug,39,0.364485981
Oct-20,3,Drug,54,0.504672897
Oct-20,4,Drug,14,0.130841121
Sep-20,1,Drug,5,0.033112583
Sep-20,2,Drug,39,0.258278146
Sep-20,3,Drug,82,0.543046358
Sep-20,4,Drug,23,0.152317881
Sep-20,5,Drug,2,0.013245033
Apr-21,1,Plant,10,0.037174721
Apr-21,2,Plant,165,0.6133829
Apr-21,3,Plant,86,0.319702602
Apr-21,4,Plant,8,0.029739777
Aug-20,1,Plant,34,0.105590062
Aug-20,2,Plant,210,0.652173913
Aug-20,3,Plant,65,0.201863354
Aug-20,4,Plant,13,0.040372671
Dec-20,1,Plant,2,0.111111111
Dec-20,2,Plant,7,0.388888889
Dec-20,3,Plant,8,0.444444444
Dec-20,4,Plant,1,0.055555556
Feb-20,1,Plant,13,0.04676259
Feb-20,2,Plant,157,0.564748201
Feb-20,3,Plant,88,0.316546763
Feb-20,4,Plant,18,0.064748201
Feb-20,5,Plant,2,0.007194245
Feb-21,1,Plant,9,0.032490975
Feb-21,2,Plant,146,0.527075812
Feb-21,3,Plant,103,0.371841155
Feb-21,4,Plant,16,0.057761733
Feb-21,5,Plant,3,0.010830325
Jan-20,1,Plant,4,0.02739726
Jan-20,2,Plant,48,0.328767123
Jan-20,3,Plant,59,0.404109589
Jan-20,4,Plant,34,0.232876712
Jan-20,5,Plant,1,0.006849315
Jan-21,1,Plant,8,0.033057851
Jan-21,2,Plant,131,0.541322314
