time2,BCS,TST,count,perc
Apr-21,1,Drug,2,0.009852217
Apr-21,1.5,Drug,37,0.18226601
Apr-21,2,Drug,121,0.596059113
Apr-21,2.5,Drug,37,0.18226601
Apr-21,3,Drug,6,0.02955665
Aug-20,1,Drug,31,0.113970588
Aug-20,1.5,Drug,156,0.573529412
Aug-20,2,Drug,73,0.268382353
Aug-20,2.5,Drug,10,0.036764706
Aug-20,3,Drug,2,0.007352941
Dec-20,1,Drug,1,0.004366812
Dec-20,1.5,Drug,65,0.283842795
Dec-20,2,Drug,139,0.6069869
Dec-20,2.5,Drug,23,0.100436681
Dec-20,3.5,Drug,1,0.004366812
Feb-20,1,Drug,5,0.040650407
Feb-20,1.5,Drug,29,0.235772358
Feb-20,2,Drug,54,0.43902439
Feb-20,2.5,Drug,22,0.178861789
Feb-20,3,Drug,13,0.105691057
Feb-21,1.5,Drug,56,0.27184466
Feb-21,2,Drug,122,0.59223301
Feb-21,2.5,Drug,27,0.131067961
Feb-21,3,Drug,1,0.004854369
Jan-20,1,Drug,6,0.028037383
Jan-20,1.5,Drug,38,0.177570093
Jan-20,2,Drug,92,0.429906542
Jan-20,2.5,Drug,62,0.289719626
Jan-20,3,Drug,16,0.074766355
Jan-21,0.5,Drug,1,0.004651163
Jan-21,1.5,Drug,38,0.176744186
Jan-21,2,Drug,122,0.56744186
Jan-21,2.5,Drug,48,0.223255814
Jan-21,3,Drug,4,0.018604651
Jan-21,3.5,Drug,2,0.009302326
Jul-20,1,Drug,30,0.099337748
Jul-20,1.5,Drug,162,0.536423841
Jul-20,2,Drug,86,0.284768212
Jul-20,2.5,Drug,21,0.069536424
Jul-20,3,Drug,1,0.003311258
Jul-20,3.5,Drug,2,0.006622517
Jun-20,0.5,Drug,1,0.002421308
Jun-20,1,Drug,31,0.075060533
Jun-20,1.5,Drug,160,0.387409201
Jun-20,2,Drug,170,0.411622276
Jun-20,2.5,Drug,51,0.123486683
Mar-20,1,Drug,2,0.005235602
Mar-20,1.5,Drug,45,0.117801047
Mar-20,2,Drug,200,0.523560209
Mar-20,2.5,Drug,103,0.269633508
Mar-20,3,Drug,32,0.083769634
Mar-21,1,Drug,4,0.019230769
Mar-21,1.5,Drug,37,0.177884615
Mar-21,2,Drug,116,0.557692308
Mar-21,2.5,Drug,50,0.240384615
Mar-21,3,Drug,1,0.004807692
May-20,1,Drug,2,0.021978022
May-20,1.5,Drug,20,0.21978022
May-20,2,Drug,44,0.483516484
May-20,2.5,Drug,22,0.241758242
May-20,3,Drug,3,0.032967033
May-21,1,Drug,4,0.020304569
May-21,1.5,Drug,34,0.172588832
May-21,2,Drug,92,0.467005076
May-21,2.5,Drug,51,0.258883249
May-21,3,Drug,15,0.076142132
May-21,3.5,Drug,1,0.005076142
Nov-20,1,Drug,12,0.048
Nov-20,1.5,Drug,150,0.6
Nov-20,2,Drug,68,0.272
Nov-20,2.5,Drug,16,0.064
Nov-20,3,Drug,3,0.012
Nov-20,3.5,Drug,1,0.004
Oct-20,1,Drug,7,0.065420561
Oct-20,1.5,Drug,65,0.607476636
Oct-20,2,Drug,25,0.23364486
Oct-20,2.5,Drug,9,0.08411215
Oct-20,3,Drug,1,0.009345794
Sep-20,1,Drug,22,0.144736842
Sep-20,1.5,Drug,99,0.651315789
Sep-20,2,Drug,27,0.177631579
Sep-20,2.5,Drug,4,0.026315789
Apr-21,1,Plant,4,0.014869888
Apr-21,1.5,Plant,69,0.256505576
Apr-21,2,Plant,138,0.513011152
Apr-21,2.5,Plant,49,0.182156134
Apr-21,3,Plant,9,0.033457249
Aug-20,1,Plant,34,0.105590062
Aug-20,1.5,Plant,174,0.540372671
Aug-20,2,Plant,83,0.257763975
Aug-20,2.5,Plant,26,0.080745342
Aug-20,3,Plant,5,0.01552795
Dec-20,1.5,Plant,8,0.444444444
Dec-20,2,Plant,6,0.333333333
Dec-20,2.5,Plant,2,0.111111111
Dec-20,3,Plant,2,0.111111111
Feb-20,1,Plant,3,0.010791367
Feb-20,1.5,Plant,41,0.147482014
Feb-20,2,Plant,108,0.388489209
Feb-20,2.5,Plant,74,0.26618705
Feb-20,3,Plant,52,0.18705036
Feb-21,0.5,Plant,2,0.007220217
Feb-21,1,Plant,9,0.032490975
Feb-21,1.5,Plant,72,0.259927798
Feb-21,2,Plant,134,0.483754513
Feb-21,2.5,Plant,49,0.176895307
Feb-21,3,Plant,10,0.036101083
Feb-21,3.5,Plant,1,0.003610108
Jan-20,1.5,Plant,37,0.253424658
Jan-20,2,Plant,64,0.438356164
Jan-20,2.5,Plant,27,0.184931507
Jan-20,3,Plant,18,0.123287671
Jan-21,1,Plant,2,0.008196721
Jan-21,1.5,Plant,57,0.233606557
Jan-21,2,Plant,126,0.516393443
Jan-21,2.5,Plant,52,0.213114754
Jan-21,3,Plant,6,0.024590164
Jan-21,3.5,Plant,1,0.004098361
Jul-20,1,Plant,16,0.05734767
Jul-20,1.5,Plant,122,0.437275986
Jul-20,2,Plant,99,0.35483871
Jul-20,2.5,Plant,33,0.11827957
Jul-20,3,Plant,9,0.032258065
Jun-20,1,Plant,9,0.029508197
Jun-20,1.5,Plant,76,0.249180328
Jun-20,2,Plant,156,0.51147541
Jun-20,2.5,Plant,61,0.2
Jun-20,3,Plant,3,0.009836066
Mar-20,1,Plant,2,0.003539823
Mar-20,1.5,Plant,34,0.060176991
Mar-20,2,Plant,245,0.433628319
Mar-20,2.5,Plant,230,0.407079646
Mar-20,3,Plant,54,0.095575221
Mar-21,1,Plant,5,0.018315018
Mar-21,1.5,Plant,40,0.146520147
Mar-21,2,Plant,162,0.593406593
Mar-21,2.5,Plant,55,0.201465201
Mar-21,3,Plant,10,0.036630037
Mar-21,3.5,Plant,1,0.003663004
May-20,1,Plant,3,0.01
May-20,1.5,Plant,57,0.19
May-20,2,Plant,112,0.373333333
May-20,2.5,Plant,96,0.32
May-20,3,Plant,32,0.106666667
