time2,Nasal,TST,count,perc
Apr-21,0,Drug,151,0.743842365
Apr-21,1,Drug,52,0.256157635
Aug-20,0,Drug,136,0.5
Aug-20,1,Drug,136,0.5
Dec-20,0,Drug,202,0.874458874
Dec-20,1,Drug,29,0.125541126
Feb-20,0,Drug,62,0.504065041
Feb-20,1,Drug,61,0.495934959
Feb-21,0,Drug,196,0.951456311
Feb-21,1,Drug,10,0.048543689
Jan-20,0,Drug,133,0.621495327
Jan-20,1,Drug,81,0.378504673
Jan-21,0,Drug,205,0.953488372
Jan-21,1,Drug,10,0.046511628
Jul-20,0,Drug,132,0.437086093
Jul-20,1,Drug,170,0.562913907
Jun-20,0,Drug,190,0.458937198
Jun-20,1,Drug,224,0.541062802
Mar-20,0,Drug,188,0.492146597
Mar-20,1,Drug,194,0.507853403
Mar-21,0,Drug,197,0.947115385
Mar-21,1,Drug,11,0.052884615
May-20,0,Drug,47,0.516483516
May-20,1,Drug,44,0.483516484
May-21,0,Drug,170,0.862944162
May-21,1,Drug,26,0.131979695
May-21,2,Drug,1,0.005076142
Nov-20,0,Drug,211,0.844
Nov-20,1,Drug,39,0.156
Oct-20,0,Drug,75,0.700934579
Oct-20,1,Drug,32,0.299065421
Sep-20,0,Drug,75,0.493421053
Sep-20,1,Drug,77,0.506578947
Apr-21,0,Plant,239,0.885185185
Apr-21,1,Plant,31,0.114814815
Aug-20,0,Plant,176,0.546583851
Aug-20,1,Plant,146,0.453416149
Dec-20,0,Plant,17,0.944444444
Dec-20,1,Plant,1,0.055555556
Feb-20,0,Plant,147,0.528776978
Feb-20,1,Plant,131,0.471223022
Feb-21,0,Plant,271,0.97833935
Feb-21,1,Plant,6,0.02166065
Jan-20,0,Plant,102,0.698630137
Jan-20,1,Plant,44,0.301369863
Jan-21,0,Plant,227,0.926530612
Jan-21,1,Plant,18,0.073469388
Jul-20,0,Plant,131,0.46953405
Jul-20,1,Plant,148,0.53046595
Jun-20,0,Plant,155,0.508196721
Jun-20,1,Plant,150,0.491803279
Mar-20,0,Plant,292,0.51590106
Mar-20,1,Plant,274,0.48409894
Mar-21,0,Plant,245,0.894160584
Mar-21,1,Plant,29,0.105839416
May-20,0,Plant,127,0.423333333
May-20,1,Plant,173,0.576666667
May-21,0,Plant,218,0.8515625
May-21,1,Plant,38,0.1484375
Nov-20,0,Plant,269,0.802985075
Nov-20,1,Plant,66,0.197014925
Oct-20,0,Plant,134,0.644230769
Oct-20,1,Plant,74,0.355769231
Sep-20,0,Plant,158,0.652892562
Sep-20,1,Plant,84,0.347107438
