time2,Jaw,TST,count,perc
Apr-21,0,Drug,203,1
Aug-20,0,Drug,271,0.996323529
Aug-20,1,Drug,1,0.003676471
Dec-20,0,Drug,231,1
Feb-20,0,Drug,133,1
Feb-21,0,Drug,206,1
Jan-20,0,Drug,211,0.985981308
Jan-20,1,Drug,3,0.014018692
Jan-21,0,Drug,215,1
Jul-20,0,Drug,302,1
Jun-20,0,Drug,412,0.995169082
Jun-20,1,Drug,2,0.004830918
Mar-20,0,Drug,381,0.997382199
Mar-20,1,Drug,1,0.002617801
Mar-21,0,Drug,208,1
May-20,0,Drug,90,0.989010989
May-20,1,Drug,1,0.010989011
May-21,0,Drug,197,1
Nov-20,0,Drug,249,0.996
Nov-20,1,Drug,1,0.004
Oct-20,0,Drug,106,0.990654206
Oct-20,1,Drug,1,0.009345794
Sep-20,0,Drug,152,1
Apr-21,0,Plant,270,1
Aug-20,0,Plant,322,1
Dec-20,0,Plant,18,1
Feb-20,0,Plant,276,0.992805755
Feb-20,1,Plant,2,0.007194245
Feb-21,0,Plant,277,1
Jan-20,0,Plant,145,0.993150685
Jan-20,1,Plant,1,0.006849315
Jan-21,0,Plant,245,1
Jul-20,0,Plant,278,0.996415771
Jul-20,1,Plant,1,0.003584229
Jun-20,0,Plant,304,0.996721311
Jun-20,1,Plant,1,0.003278689
Mar-20,0,Plant,564,0.996466431
Mar-20,1,Plant,2,0.003533569
Mar-21,0,Plant,274,1
May-20,0,Plant,299,0.996666667
May-20,1,Plant,1,0.003333333
May-21,0,Plant,256,1
Nov-20,0,Plant,333,0.994029851
Nov-20,1,Plant,2,0.005970149
Oct-20,0,Plant,208,1
Sep-20,0,Plant,241,0.995867769
Sep-20,1,Plant,1,0.004132231
